"table_name","rows"
dim_customer,1000
dim_product,35
dim_campaign,7
fact_orders,5000
fact_order_items,8700
fact_customer_events,10000
CUST0916,48,
CUST0886,2,
CUST0171,4,
CUST0629,2,
CUST0760,10,
CUST0531,64,
CUST0989,9,
CUST0690,1,
CUST0461,24,
CUST0937,37,
CUST0960,36,
CUST0176,17,
CUST0467,15,
CUST0940,1,
CUST0006,17,
CUST0614,15,
CUST0153,13,
CUST0417,51,
CUST0608,49,
CUST0495,41,
CUST0309,28,
CUST0515,62,
CUST0346,3,
CUST0011,51,
CUST0787,69,
CUST0925,6,
CUST0825,9,
CUST0575,13,
CUST0109,19,
CUST0987,71,
CUST0783,134,
CUST0197,17,
CUST0818,15,
CUST0271,16,
CUST0258,2,
CUST0450,33,
CUST0639,14,
CUST0083,165,
CUST0186,17,
CUST0665,32,
CUST0636,13,
CUST0840,18,
CUST0032,48,
CUST0025,45,
CUST0622,29,
CUST0401,20,
CUST0315,33,
CUST0248,16,
CUST0469,60,
CUST0051,7,
CUST0195,8,
CUST0390,2,
CUST0796,70,
CUST0054,12,
CUST0635,13,
CUST0272,180,
CUST0791,7,
CUST0261,7,
CUST0120,36,
CUST0811,31,
CUST0072,24,
CUST0708,157,
CUST0387,15,
CUST0621,19,
CUST0194,44,
CUST0928,38,
CUST0889,15,
CUST0738,12,
CUST0449,39,
CUST0222,12,
CUST0413,25,
CUST0551,121,
CUST0606,7,
CUST0683,16,
CUST0584,17,
CUST0410,113,
CUST0634,21,
CUST0052,30,
CUST0605,60,
CUST0204,31,
CUST0834,15,
CUST0310,13,
CUST0468,180,
CUST0239,58,
CUST0641,36,
CUST0724,11,
CUST0443,26,
CUST0478,5,
CUST0868,39,
CUST0027,67,
CUST0127,14,
CUST0121,37,
CUST0981,10,
CUST0307,9,
CUST0487,108,
CUST0465,78,
CUST0426,12,
CUST0252,2,
CUST0593,10,
CUST0821,12,
CUST0058,189,
CUST0863,11,
CUST0333,161,
CUST0986,18,
CUST0084,28,
CUST0951,46,
CUST0822,113,
CUST0655,25,
CUST0945,18,
CUST0671,60,
CUST0517,18,
CUST0452,88,
CUST0992,50,
CUST0794,14,
CUST0354,10,
CUST0746,7,
CUST0891,58,
CUST0028,192,
CUST0356,17,
CUST0806,34,
CUST0646,71,
CUST0287,88,
CUST0851,55,
CUST0566,15,
CUST0893,22,
CUST0453,58,
CUST0632,80,
CUST0118,45,
CUST0573,39,
CUST0114,29,
CUST0250,17,
CUST0533,46,
CUST0180,14,
CUST0977,86,
CUST0088,39,
CUST0782,9,
CUST0473,23,
CUST0583,12,
CUST0016,17,
CUST0726,5,
CUST0314,12,
CUST0212,185,
CUST0414,4,
CUST0427,17,
CUST0691,12,
CUST0399,9,
CUST0699,191,
CUST0503,13,
CUST0447,17,
CUST0418,166,
CUST0565,26,
CUST0167,31,
CUST0697,18,
CUST0059,51,
CUST0409,8,
CUST0425,23,
CUST0041,39,
CUST0753,14,
CUST0353,2,
CUST0877,16,
CUST0238,14,
CUST0234,72,
CUST0767,14,
CUST0693,5,
CUST0649,132,
CUST0480,8,
CUST0267,116,
CUST0107,12,
CUST0975,36,
CUST0772,74,
CUST0663,16,
CUST0736,3,
CUST0061,99,
CUST0163,17,
CUST0500,67,
CUST0963,16,
CUST0321,9,
CUST0131,14,
CUST0732,48,
CUST0971,140,
CUST0918,138,
CUST0316,51,
CUST0730,13,
CUST0151,214,
CUST0092,96,
CUST0430,99,
CUST0540,20,
CUST0595,57,
CUST0770,97,
CUST0210,95,
CUST0637,15,
CUST0129,28,
CUST0846,34,
CUST0941,17,
CUST0184,17,
CUST0514,14,
CUST0885,51,
CUST0218,13,
CUST0850,26,
CUST0563,112,
CUST0160,14,
CUST0561,11,
CUST0755,32,
CUST0568,30,
CUST0667,17,
CUST0519,39,
CUST0012,26,
CUST0479,25,
CUST0784,16,
CUST0581,189,
CUST0926,92,
CUST0909,2,
CUST0743,16,
CUST0625,50,
CUST0149,12,
CUST0921,192,
CUST0206,87,
CUST0285,103,
CUST0348,146,
CUST0722,29,
CUST0398,103,
CUST0700,90,
CUST0331,284,
CUST0860,158,
CUST0328,124,
CUST0375,18,
CUST0747,12,
CUST0757,138,
CUST0994,97,
CUST0294,94,
CUST0556,50,
CUST0728,36,
CUST0935,12,
CUST0620,97,
CUST0766,12,
CUST0139,77,
CUST0712,28,
CUST0764,19,
CUST0043,19,
CUST0905,75,
CUST0392,41,
CUST0049,26,
CUST0147,98,
CUST0371,24,
CUST0870,17,
CUST0836,4,
CUST0087,49,
CUST0046,56,
CUST0799,14,
CUST0505,24,
CUST0638,5,
CUST0420,44,
CUST0455,19,
CUST0078,4,
CUST0849,9,
CUST0741,42,
CUST0558,45,
CUST0384,28,
CUST0476,11,
CUST0862,25,
CUST0117,49,
CUST0698,18,
CUST0915,147,
CUST0132,65,
CUST0435,197,
CUST0301,48,
CUST0597,106,
CUST0624,12,
CUST0074,20,
CUST0911,22,
CUST0019,19,
CUST0888,120,
CUST0116,5,
CUST0553,14,
CUST0844,12,
CUST0030,80,
CUST0364,73,
CUST0215,134,
CUST0927,16,
CUST0660,59,
CUST0281,69,
CUST0754,8,
CUST0970,5,
CUST0492,105,
CUST0559,83,
CUST0432,26,
CUST0106,51,
CUST0902,13,
CUST0579,12,
CUST0323,91,
CUST0296,193,
CUST0631,111,
CUST0185,14,
CUST0256,24,
CUST0220,118,
CUST0908,95,
CUST0832,2,
CUST0260,47,
CUST0360,43,
CUST0880,77,
CUST0801,67,
CUST0224,7,
CUST0448,23,
CUST0642,24,
CUST0864,21,
CUST0411,12,
CUST0352,33,
CUST0014,25,
CUST0133,45,
CUST0804,281,
CUST0777,86,
CUST0486,33,
CUST0313,48,
CUST0018,49,
CUST0253,50,
CUST0366,10,
CUST0820,56,
CUST0534,19,
CUST0138,16,
CUST0060,119,
CUST0225,2,
CUST0048,165,
CUST0396,14,
CUST0057,37,
CUST0906,136,
CUST0984,181,
CUST0780,157,
CUST0956,94,
CUST0871,242,
CUST0326,30,
CUST0521,137,
CUST0781,175,
CUST0685,11,
CUST0896,43,
CUST0251,301,
CUST0682,49,
CUST0437,43,
CUST0277,95,
CUST0024,100,
CUST0320,115,
CUST0221,17,
CUST0249,88,
CUST0793,14,
CUST0775,5,
CUST0191,219,
CUST0734,162,
CUST0434,90,
CUST0496,70,
CUST0996,197,
CUST0653,60,
CUST0283,119,
CUST0899,12,
CUST0790,112,
CUST0748,198,
CUST0562,285,
CUST0577,19,
CUST0993,17,
CUST0677,48,
CUST0805,49,
CUST0076,35,
CUST0675,15,
CUST0538,199,
CUST0650,91,
CUST0512,5,
CUST0695,6,
CUST0942,16,
CUST0275,13,
CUST0552,23,
CUST0943,41,
CUST0774,25,
CUST0474,30,
CUST0843,50,
CUST0651,210,
CUST0097,28,
CUST0175,13,
CUST0874,108,
CUST0436,84,
CUST0785,28,
CUST0824,15,
CUST0341,283,
CUST0144,168,
CUST0800,167,
CUST0101,7,
CUST0939,1,
CUST0866,14,
CUST0407,277,
CUST0466,44,
CUST0322,103,
CUST0719,2,
CUST0914,68,
CUST0464,46,
CUST0134,197,
CUST0282,12,
CUST0228,11,
CUST0529,32,
CUST0859,75,
CUST0680,48,
CUST0946,15,
CUST0298,189,
CUST0658,7,
CUST0424,51,
CUST0999,22,
CUST0786,12,
CUST0668,29,
CUST0580,66,
CUST0617,125,
CUST0604,165,
CUST0769,8,
CUST0948,14,
CUST0017,68,
CUST0066,139,
CUST0110,38,
CUST0544,2,
CUST0152,174,
CUST0679,22,
CUST0351,111,
CUST0038,117,
CUST0525,355,
CUST0243,17,
CUST0501,73,
CUST0104,130,
CUST0270,150,
CUST0957,5,
CUST0673,57,
CUST0618,32,
CUST0288,59,
CUST0494,71,
CUST0386,13,
CUST0709,112,
CUST0504,4,
CUST0099,180,
CUST0363,168,
CUST0458,82,
CUST0119,132,
CUST0379,33,
CUST0433,127,
CUST0527,144,
CUST0393,153,
CUST0523,218,
CUST0062,138,
CUST0412,21,
CUST0716,12,
CUST0077,9,
CUST0093,49,
CUST0809,167,
CUST0477,1,
CUST0065,13,
CUST0640,53,
CUST0854,102,
CUST0196,64,
CUST0405,65,
CUST0150,341,
CUST0814,14,
CUST0543,12,
CUST0966,84,
CUST0609,7,
CUST0539,69,
CUST0681,78,
CUST0080,172,
CUST0499,154,
CUST0944,331,
CUST0648,66,
CUST0063,245,
CUST0554,256,
CUST0582,50,
CUST0169,111,
CUST0214,148,
CUST0005,232,
CUST0703,113,
CUST0630,76,
CUST0507,2,
CUST0982,75,
CUST0001,30,
CUST0725,243,
CUST0318,192,
CUST0442,284,
CUST0457,35,
CUST0345,40,
CUST0422,61,
CUST0968,64,
CUST0330,46,
CUST0619,36,
CUST0475,7,
CUST0361,240,
CUST0979,230,
CUST0704,42,
CUST0855,257,
CUST0571,208,
CUST0391,93,
CUST0545,22,
CUST0485,43,
CUST0380,52,
CUST0742,112,
CUST0520,49,
CUST0560,342,
CUST0978,50,
CUST0720,231,
CUST0644,51,
CUST0607,88,
CUST0990,15,
CUST0739,196,
CUST0661,159,
CUST0751,118,
CUST0481,207,
CUST0400,13,
CUST0765,18,
CUST0950,190,
CUST0071,145,
CUST0189,112,
CUST0852,16,
CUST0079,336,
CUST0082,13,
CUST0898,147,
CUST0403,89,
CUST0829,61,
CUST0089,157,
CUST0230,154,
CUST0856,249,
CUST0922,69,
CUST0587,10,
CUST0141,12,
CUST0737,153,
CUST0374,44,
CUST0510,114,
CUST0105,151,
CUST0907,353,
CUST0845,111,
CUST0423,13,
CUST0349,106,
CUST0359,167,
CUST0592,111,
CUST0319,271,
CUST0431,64,
CUST0325,222,
CUST0535,10,
CUST0997,154,
CUST0903,153,
CUST0279,19,
CUST0096,193,
CUST0546,113,
CUST0541,306,
CUST0920,28,
CUST0591,41,
CUST0578,54,
CUST0557,16,
CUST0033,165,
CUST0142,215,
CUST0518,184,
CUST0369,78,
CUST0865,10,
CUST0526,106,
CUST0211,335,
CUST0964,136,
CUST0861,18,
CUST0015,259,
CUST0192,80,
CUST0837,85,
CUST0878,176,
CUST0522,355,
CUST0497,327,
CUST0857,81,
CUST0394,358,
CUST0181,105,
CUST0035,150,
CUST0613,86,
CUST0876,13,
CUST0278,258,
CUST0229,163,
CUST0998,16,
CUST0892,169,
CUST0336,100,
CUST0524,85,
CUST0858,18,
CUST0684,276,
CUST0883,270,
CUST0936,51,
CUST0044,12,
CUST0976,33,
CUST0841,198,
CUST0835,123,
CUST0669,328,
CUST0406,195,
CUST0482,113,
CUST0177,90,
CUST0532,186,
CUST0900,117,
CUST0511,56,
CUST0692,179,
CUST0483,243,
CUST0362,95,
CUST0358,14,
CUST0596,206,
CUST0008,10,
CUST0470,186,
CUST0164,40,
CUST0603,164,
CUST0745,193,
CUST0439,289,
CUST0237,229,
CUST0297,100,
CUST0491,278,
CUST0958,164,
CUST0383,59,
CUST0867,186,
CUST0873,181,
CUST0882,123,
CUST0148,305,
CUST0714,289,
CUST0140,127,
CUST0075,84,
CUST0654,306,
CUST0193,10,
CUST0710,131,
CUST0872,91,
CUST0045,116,
CUST0266,25,
CUST0102,35,
CUST0226,70,
CUST0136,86,
CUST0246,159,
CUST0875,39,
CUST0686,299,
CUST0645,106,
CUST0508,49,
CUST0701,187,
CUST0489,210,
CUST0446,299,
CUST0830,12,
CUST0847,125,
CUST0115,124,
CUST0259,279,
CUST0599,349,
CUST0156,277,
CUST0894,61,
CUST0762,236,
CUST0203,12,
CUST0339,88,
CUST0713,145,
CUST0933,23,
CUST0733,65,
CUST0901,105,
CUST0813,111,
CUST0377,347,
CUST0530,144,
CUST0289,82,
CUST0459,13,
CUST0108,17,
CUST0662,208,
CUST0506,98,
CUST0382,8,
CUST0232,4,
CUST0967,56,
CUST0659,4,
CUST0332,78,
CUST0404,82,
CUST0161,275,
CUST0240,245,
CUST0817,177,
CUST0626,13,
CUST0223,360,
CUST0657,245,
CUST0694,12,
CUST0357,361,
CUST0451,41,
CUST0324,246,
CUST0988,256,
CUST0098,74,
CUST0155,18,
CUST0569,139,
CUST0202,172,
CUST0190,16,
CUST0616,17,
CUST0890,18,
CUST0428,16,
CUST0280,284,
CUST0674,51,
CUST0676,157,
CUST0402,149,
CUST0317,248,
CUST0205,31,
CUST0216,82,
CUST0245,45,
CUST0137,47,
CUST0706,327,
CUST0182,76,
CUST0802,261,
CUST0335,188,
CUST0812,233,
CUST0174,209,
CUST0086,159,
CUST0771,282,
CUST0798,271,
CUST0904,89,
CUST0112,317,
CUST0953,242,
CUST0550,174,
CUST0962,107,
CUST0740,281,
CUST0924,229,
CUST0471,81,
CUST0912,287,
CUST0064,102,
CUST0179,343,
CUST0919,26,
CUST0381,169,
CUST0304,8,
CUST0081,74,
CUST0985,179,
CUST0070,49,
CUST0656,292,
CUST0969,28,
CUST0154,112,
CUST0594,306,
CUST0585,51,
CUST0090,54,
CUST0135,21,
CUST0091,117,
CUST0600,18,
CUST0615,285,
CUST0342,89,
CUST0269,246,
CUST0388,77,
CUST0368,5,
CUST0146,208,
CUST0965,280,
CUST0013,55,
CUST0143,283,
CUST0021,52,
CUST0610,6,
CUST0696,157,
CUST0327,296,
CUST0373,168,
CUST0689,14,
CUST0839,242,
CUST0002,9,
CUST0672,103,
CUST0923,242,
CUST0355,87,
CUST0286,2,
CUST0293,223,
CUST0039,51,
CUST0073,71,
CUST0329,220,
CUST0590,123,
CUST0643,238,
CUST0125,272,
CUST0756,132,
CUST0344,212,
CUST0367,12,
CUST0023,356,
CUST0961,12,
CUST0157,130,
CUST0792,346,
CUST0848,333,
CUST0472,196,
CUST0542,17,
CUST0488,204,
CUST0172,157,
CUST0528,1,
CUST0036,304,
CUST0173,95,
CUST0126,247,
CUST0779,322,
CUST0227,177,
CUST0498,182,
CUST0004,40,
CUST0602,7,
CUST0241,100,
CUST0735,32,
CUST0350,360,
CUST0484,112,
CUST0647,296,
CUST1000,359,
CUST0158,115,
CUST0881,254,
CUST0887,75,
CUST0395,127,
CUST0056,354,
CUST0207,159,
CUST0291,259,
CUST0576,196,
CUST0009,239,
CUST0094,137,
CUST0068,349,
CUST0869,212,
CUST0628,364,
CUST0718,335,
CUST0123,3,
CUST0789,29,
CUST0273,107,
CUST0707,114,
CUST0040,191,
CUST0897,358,
CUST0980,245,
CUST0311,15,
CUST0242,357,
CUST0536,182,
CUST0842,207,
CUST0264,5,
CUST0705,360,
CUST0761,361,
CUST0853,102,
CUST0337,158,
CUST0213,313,
CUST0807,217,
CUST0555,68,
CUST0444,354,
CUST0549,178,
CUST0300,325,
CUST0340,113,
CUST0973,357,
CUST0931,96,
CUST0188,203,
CUST0067,190,
CUST0389,107,
CUST0201,363,
CUST0460,139,
CUST0265,192,
CUST0257,236,
CUST0623,50,
CUST0292,336,
CUST0570,14,
CUST0778,24,
CUST0199,323,
CUST0664,261,
CUST0376,279,
CUST0823,172,
CUST0209,365,
CUST0178,255,
CUST0306,24,
CUST0462,184,
CUST0438,13,
CUST0493,357,
